index,dates,observedInflow,storage,outflow,totalWaterSupply,elevation,population,shiftFactor,inflow,deficit
0,1,166293.60886092795,191866.6691317584,95206.61157024803,4534.418158921833,255.8895029919836,331303.0,1.0,0.0,0.0
1,2,198886.26274794075,227924.175310904,158677.68595041314,4151.07061838228,258.17569739336517,331303.0,0.9985,0.0,0.0
2,3,6958.066175872782,162136.18967633825,67438.01652892558,5308.035281513124,253.8227262529285,332546.0,0.997,0.0,0.0
3,4,13139.154691331403,110486.55410572172,59504.132231404925,5284.658030543176,249.7037292246113,333837.0,0.9955,0.0,0.0
4,5,19506.410798690493,119415.12522374494,6148.760330578512,4429.079350088754,250.4925090647609,335155.0,0.9940000000000001,0.0,0.0
5,6,-497.5105235637392,108645.5412709599,5950.413223140496,4321.660206080805,249.53347001488575,336437.0,0.9925,0.0,0.0
6,7,20991.65492924219,116180.97973934116,6148.760330578512,7307.456130282433,250.21389556679367,337721.0,0.991,0.0,0.0
7,8,8530.029904536268,114053.53416185525,6148.760330578512,4508.7151514436355,250.03062148189656,339073.0,0.9895,0.0,0.0
8,9,-422.5252901133706,102871.66250722084,5950.413223140496,4808.933141380583,248.99949435931015,340325.0,0.988,0.0,0.0
9,10,292.38715861936015,94675.38567686439,3689.256198347107,4799.407790628681,248.18833455594933,341619.0,0.9865,0.0,0.0
10,11,11025.4846258614,97157.38847985168,3570.2479338842977,4973.2338889898265,248.4341747701913,342912.0,0.985,0.0,0.0
11,12,109701.7889844648,140488.08066203148,61487.603305785095,4883.493496500196,252.2099026230805,344207.0,0.9835,0.0,0.0
12,1,58126.78589694377,132179.0213163749,61487.603305785095,4948.241936815514,251.55322196118743,345547.0,0.982,0.0,0.0
13,2,61017.64907020026,132679.18174771743,55537.19008264461,4980.298556213355,251.59352822529758,346863.0,0.9805,0.0,0.0
14,3,110473.8988718487,166301.65677864055,71404.95867768592,5446.465163239869,254.1223401381952,348156.0,0.9790000000000001,0.0,0.0
15,4,44576.80548150319,146926.52762359695,59504.132231404925,4447.8024051421,252.6999655673312,349446.0,0.9775,0.0,0.0
16,5,13580.94984159699,123707.75871523634,29752.06611570248,7047.652634255142,250.86230864190532,350812.0,0.976,0.0,0.0
17,6,51759.609826319254,123358.06791180649,47603.305785123965,4505.994844625162,250.8321836588393,352071.0,0.9745,0.0,0.0
18,7,3296.5787149287357,115517.1729901707,6148.760330578512,4988.713305985992,250.1567102851629,353401.0,0.973,0.0,0.0
19,8,5084.48728060832,109771.95750933618,6148.760330578512,4680.942430864337,249.63764242202316,354718.0,0.9715,0.0,0.0
20,9,4860.3134150994565,104176.19315820398,5950.413223140496,4505.66454309115,249.12013901398356,356025.0,0.97,0.0,0.0
21,10,35705.595622497254,109233.62187816817,25785.12396694216,4863.042935590919,249.5878564577979,357359.0,0.9685,0.0,0.0
22,11,38418.32416342943,108721.95193911727,33719.00826446282,5210.985838017552,249.54053657071282,358664.0,0.9670000000000001,0.0,0.0
23,12,40867.36103671128,109075.27690852454,35702.47933884298,4811.556728461118,249.57321251350453,359950.0,0.9655,0.0,0.0
24,1,30110.0311463232,108617.21993081488,25785.12396694216,4782.964157090698,249.530850821309,361226.0,0.9640000000000001,0.0,0.0
25,2,64410.305935196535,112522.57410201896,55537.19008264461,4967.761681348026,249.89202294479043,362528.0,0.9625,0.0,0.0
26,3,129716.28954617062,165561.7873286635,71404.95867768592,5272.117641840368,254.0701373970693,363826.0,0.961,0.0,0.0
27,4,7925.664776358575,109014.0553751124,59504.132231404925,4969.264498504876,249.5675506681876,365155.0,0.9595,0.0,0.0
28,5,3565.3774521759033,101590.945693976,6148.760330578512,4839.726802733788,248.87331474781854,366468.0,0.958,0.0,0.0
29,6,10450.04329627493,100625.35152712873,5950.413223140496,5465.224239981717,248.7776734872354,367772.0,0.9565,0.0,0.0
30,7,1879.3674293843212,91144.70186831453,6148.760330578512,5211.256757620008,247.82573751809056,369103.0,0.955,0.0,0.0
31,8,2205.842257109758,82129.86562540202,6148.760330578512,5071.918169443731,246.8442366339727,370429.0,0.9535,0.0,0.0
32,9,2341.133733044805,73702.46129557752,5950.413223140496,4818.12483972882,245.84085877102717,371714.0,0.9520000000000001,0.0,0.0
33,10,5128.893397126994,69963.76383870338,3689.256198347107,5178.334655654029,245.37245858460696,373046.0,0.9505,0.0,0.0
34,11,19495.832560277257,81084.05023293932,3570.2479338842977,4805.298232156983,246.7212140022279,374312.0,0.9490000000000001,0.0,0.0
35,12,17153.819182091356,89148.76783526574,3689.256198347107,5399.845381417831,247.61121322391082,375622.0,0.9475,0.0,0.0
36,1,28250.58861804177,108494.85397828175,3966.9421487603295,4937.560326265428,249.5195342623029,376941.0,0.946,0.0,0.0
37,2,35947.34620141978,108862.58849341668,29752.06611570249,5827.5455705823815,249.5535428182204,378202.0,0.9445,0.0,0.0
